Donor,Donor Status,Donor Age (months),Transplantation Efficiency,Shannon Index at day 28,Mouse ID Number,0,1,3,4,7,11,14,18,21,25,28,32,At sacrifice,Average body weight gain at sacrifice by donor group
302B.9,Healthy,18.7,< 50%,4.082967278,8,100,94.9,96.4,103.6,107.3,115.3,113.1,119.7,121.2,124.1,127,124.1,Dead,
302B.9,Healthy,18.7,< 50%,4.166478455,9,100,96.2,95.5,98.1,96.2,97.4,98.7,104.5,105.8,107.7,112.2,111.3,Dead,
134B.1,Undernourished,17.1,> 50%,2.869731449,2,100,98.3,105.8,110.7,109.1,114,114.9,121.5,125.6,138,138.8,144.6,144.1,125.8
134B.1,Undernourished,17.1,> 50%,2.99009086,3,100,95.5,97.2,97.8,98.9,105,106.1,109.5,111.2,111.7,114.5,117.3,115.6,
134B.1,Undernourished,17.1,> 50%,2.955603574,4,100,96.2,104.6,103.8,101.5,109.2,110,114.6,120.8,128.5,130.8,133.8,134.7,
134B.1,Undernourished,17.1,> 50%,3.174819659,7,100,95.2,100.6,100,100.6,105.4,108.3,112.5,114.3,117.9,120.8,122,122.4,
134B.1,Undernourished,17.1,> 50%,2.92694557,12,100,96.8,93.5,95.7,97.8,101.6,103.2,106.5,107.6,109.7,110.8,114.1,112.3,
144B.2,Undernourished,17.4,< 50%,3.386093723,3,100,95.9,83,89.5,94.7,96.5,95.9,96.5,98.8,101.2,102.3,101.2,100.8,106.7
144B.2,Undernourished,17.4,< 50%,3.279677633,5,100,96.5,90.8,97.1,101.7,104.6,105.2,105.2,108.1,111.6,111,113.9,113.6,
144B.2,Undernourished,17.4,< 50%,3.311605016,6,100,97.2,91.5,97.9,102.8,108.5,109.9,110.6,112.8,114.9,115.6,119.1,116,
144B.2,Undernourished,17.4,< 50%,3.108527591,7,100,98.2,97,100,100,103,102.4,103,107.1,107.7,109.5,109.5,108.5,
144B.2,Undernourished,17.4,< 50%,3.190511189,11,100,95.3,85.9,88.6,88.6,87.2,85.9,84.6,84.6,88.6,89.9,93.3,94.4,
185A.2,Undernourished,17.3,> 50%,nd,1,100,93.8,90.7,91.4,90.1,93.8,98.1,99.4,98.8,Dead,Dead,Dead,Dead,na
185A.2,Undernourished,17.3,> 50%,nd,2,100,96.2,89.1,91.7,89.1,92.3,97.4,100,105.8,Dead,Dead,Dead,Dead,
185A.2,Undernourished,17.3,> 50%,nd,3,100,95.5,90.2,86.5,82,85,86.5,87.2,91.7,Dead,Dead,Dead,Dead,
185A.2,Undernourished,17.3,> 50%,nd,6,100,97.6,95.9,97.6,100.6,103.6,106.5,107.1,109.5,Dead,Dead,Dead,Dead,
185A.2,Undernourished,17.3,> 50%,nd,10,100,93.6,95.3,97.1,98.2,100.6,102.9,106.4,107.6,Dead,Dead,Dead,Dead,
202A.8,Undernourished,18,< 50%,2.101854471,2,100,99.4,95.8,99.4,101.2,103.6,103.6,104.2,107.3,106.1,109.7,111.5,109.5,111.5
202A.8,Undernourished,18,< 50%,2.098401463,8,100,97.1,92,96,101.1,103.4,100,104,106.3,107.4,109.7,111.4,110.9,
202A.8,Undernourished,18,< 50%,2.247478862,9,100,96.7,92,94,98,101.3,102.7,104.7,107.3,109.3,108.7,110.7,109.3,
202A.8,Undernourished,18,< 50%,2.127222761,10,100,97.1,94.8,98.3,104.1,107,107,113.4,111,111,111.6,116.3,113.6,
202A.8,Undernourished,18,< 50%,2.207346926,12,100,97.5,91.3,93.2,100,103.7,106.2,109.9,113.7,113.7,112.4,115.5,114.3,
257B.8,Undernourished,17.1,< 50%,3.559030675,2,100,93.3,91.5,95.2,98.8,104.8,105.5,103.6,109.7,112.7,113.9,118.2,116.2,119.2
257B.8,Undernourished,17.1,< 50%,3.395767766,5,100,93.5,94,100,102.4,107.7,107.1,108.9,111.9,116.7,116.7,117.3,117.6,
257B.8,Undernourished,17.1,< 50%,3.55682851,7,100,98.1,93.5,97.4,94.8,104.5,105.8,103.9,110.3,116.1,125.2,118.1,118.3,
257B.8,Undernourished,17.1,< 50%,3.368926624,8,100,95.1,90.9,93.9,96.3,108.5,112.2,103.7,113.4,119.5,109.1,120.7,123.5,
257B.8,Undernourished,17.1,< 50%,3.476202632,11,100,98.1,96.8,97.4,98.1,104.5,107.1,105.8,111.7,118.8,118.8,121.4,120.6,
264B.5,Undernourished,18.3,> 50%,4.04152504,2,100,95.2,99.3,101.4,106.2,110.3,109.7,115.2,117.2,122.1,122.8,122.6,Dead,na
264B.5,Undernourished,18.3,> 50%,3.882076713,3,100,94.7,95.4,98.7,102,107.9,109.3,113.2,114.6,113.9,116.6,115.8,Dead,
264B.5,Undernourished,18.3,> 50%,3.787197651,5,100,93.3,96.4,97.6,98.8,104.2,104.2,109.7,107.3,109.7,112.7,114.5,Dead,
264B.5,Undernourished,18.3,> 50%,3.899193358,6,100,94.8,88.3,92.2,94.8,97.4,103.2,99.4,100.6,101.9,107.8,106.9,Dead,
264B.5,Undernourished,18.3,> 50%,3.978001847,7,100,97.3,88.5,92.6,91.2,93.9,97.3,104.1,106.1,110.1,110.8,111.8,Dead,
